method,case_id,python_executable,python_version,implementation,platform,zstd_available,availability_reason,expected_classification,actual_classification,api_exercised,input_bytes,compressed_bytes,decompressed_bytes,roundtrip_match,frame_count,eof,needs_input,unused_data_bytes,exception_type,exception_message,sha256_input,sha256_compressed,elapsed_s,skip_reason,failure_reason,local_conclusion
hn_context_observation,zstd_empty_payload_roundtrip_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,0,,,,,,,,,,,,0.000004,,,"API correctness, not ML claim"
inspect_api,zstd_same_input_same_options_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),26,,,,,,,,,,caf723d891e3201b2d87de2c218176a012d26ea71d9032d36cb2cda645acdefa,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_same_input_same_options_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),26,,,,,,,,,,caf723d891e3201b2d87de2c218176a012d26ea71d9032d36cb2cda645acdefa,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
incremental_or_stream_operation,zstd_same_input_same_options_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,26,,,,,,,,,,caf723d891e3201b2d87de2c218176a012d26ea71d9032d36cb2cda645acdefa,,0.000003,,,
hn_context_observation,zstd_same_input_same_options_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,26,,,,,,,,,,caf723d891e3201b2d87de2c218176a012d26ea71d9032d36cb2cda645acdefa,,0.000004,,,"determinism is local, not a universal compressor promise"
inspect_api,zstd_level_size_local_observation_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000004,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
one_shot_operation,zstd_level_size_local_observation_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
incremental_or_stream_operation,zstd_level_size_local_observation_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",not_applicable,not_applicable,,49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000003,,,
hn_context_observation,zstd_level_size_local_observation_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",local_observation,local_observation,HN thread 46942864,49,,,,,,,,,,f006ed0f698732998b6d8b6f0b7c9faa82eed1a7d56f8ce6ef189fb2095c8738,,0.000004,,,"compressor tuning != classifier tuning (HN: ks2048, stephantul)"
inspect_api,zstd_incremental_continue_flush_frame_marker,/usr/bin/python3,"3.12.3 (main, Jun 19 2026, 12:46:00) [GCC 13.3.0]",CPython,linux,False,"Python 3.12 < 3.14, compression.zstd does not exist",pass,version_skip,compression.zstd (unavailable),51,,,,,,,,,,8961c8a81722d5a19ce02f8989f1443c938c8164a5780a59323f0b5bac9d6b51,,0.000003,"Python 3.12 < 3.14, compression.zstd does not exist",,skipped: zstd unavailable
